Code,New code,Area name,Inner/ Outer London,GLA Population Estimate 2014,GLA Household Estimate 2014,Inland Area (Hectares),Population density (per hectare) 2013,"Average Age, 2013","Proportion of population aged 0-15, 2013","Proportion of population of working-age, 2013","Proportion of population aged 65 and over, 2013",% of resident population born abroad (2013),Largest migrant population by country of birth (2011),% of largest migrant population (2011),Second largest migrant population by country of birth (2011),% of second largest migrant population (2011),Third largest migrant population by country of birth (2011),% of third largest migrant population (2011),% of population from BAME groups (2013),% people aged 3+ whose main language is not English (2011 Census),"Overseas nationals entering the UK (NINo), (2013/14)","New migrant (NINo) rates, (2013/14)",Employment rate (%) (2013/14),Male employment rate (2013/14),Female employment rate (2013/14),Unemployment rate (2013/14),Youth Unemployment rate (2013/14),Proportion of 16-18 year olds who are NEET (%) (2013),Proportion of the working-age population who claim benefits (%) (May-2014),% working-age with a disability (2012),Proportion of working age people with no qualifications (%) 2013,Proportion of working age people in London with degree or equivalent and above (%) 2013,"Gross Annual Pay, (2014)",Gross Annual Pay - Male (2014),Gross Annual Pay - Female (2014),% adults that volunteered in past 12 months (2010/11 to 2012/13),Number of jobs by workplace (2013),% of employment that is in public sector (2012),"Jobs Density, 2013","Number of active businesses, 2013",Two-year business survival rates 2012,Crime rates per thousand population 2013/14,Fires per thousand population (2014),Ambulance incidents per hundred population (2014),"Median House Price, 2013","Average Band D Council Tax charge (£), 2014/15",New Homes (net) 2013/14,"Homes Owned outright, (2013) %","Being bought with mortgage or loan, (2013) %","Rented from Local Authority or Housing Association, (2013) %","Rented from Private landlord, (2013) %","% of area that is Greenspace, 2005",Total carbon emissions (2012),"Household Waste Recycling Rate, 2013/14","Number of cars, (2011 Census)","Number of cars per household, (2011 Census)","% of adults who cycle at least once per month, 2012/13","Average Public Transport Accessibility score, 2012",Indices of Multiple Deprivation 2010 Rank of Average Score,Income Support claimant rate (May-14),% children living in out-of-work families (2013),"Achievement of 5 or more A*- C grades at GCSE or equivalent including English and Maths, 2012/13","Rates of Children Looked After per 10,000 aged under 18 years (2014)",% of pupils whose first language is not English (2014),"Male life expectancy, (2011-13)","Female life expectancy, (2011-13)",Teenage conception rate (2012),Life satisfaction score 2013-14 (out of 10),Worthwhileness score 2013-14 (out of 10),Happiness score 2013-14 (out of 10),Anxiety score 2013-14 (out of 10),Political control in council,Proportion of seats won by Conservatives in 2014 election,Proportion of seats won by Labour in 2014 election,Proportion of seats won by Lib Dems in 2014 election,Turnout at 2014 local elections,,,
00AW,E09000020,Kensington and Chelsea,Inner London,"160,900","79,502",1212.4,132.7,38.3,15.9,70.9,13.2,51.8,United States,5.0,France,4.2,Italy,2.7,30.7,28.0,"6,092",56,63.7,71.8,55.5,9.0,33.9,5.0,8.4,13.3,7.5,56.5,"£29,989","£30,468","£28,620",31,"143,500",16.0, 1.31 ,"12,985",74, 133.93 , 3.61 , 19.73 ,"980,000","1,082",600,17.8,11.8,31.0,33.6,15.1,"1,395.3",25.4,"44,536",0.6,14.7,5.8,103,1.6,14.8,80.2,36,52.7,82.6,86.2,17.7,7.7,7.9,7.6,3.11,Cons,74,24,2,not avail,,,
00AX,E09000021,Kingston upon Thames,Outer London,"166,100","65,121",3726.1,44.6,36.9,19.0,68.0,13.0,28.7,Sri Lanka,2.2,India,1.8,Korea (South),1.4,27.0,16.4,"2,395",21,76.9,82.1,71.5,6.0,12.4,4.1,5.4,12.2,3.1,46.7,"£30,765","£32,709","£28,372",43,"82,300",19.3, 0.73 ,"8,130",79, 61.14 , 1.88 , 11.90 ,"335,000","1,679",260,29.0,38.0,12.9,15.6,36.4,766.8,46.3,"70,421",1.1,21.7,2.8,255,1.1,10.4,71.6,33,31.2,81.3,84.5,20.0,7.42,7.75,7.51,3.05,Cons,58,4,38,not avail,,,
00AY,E09000022,Lambeth,Inner London,"316,900","135,228",2681.0,118.2,33.9,17.9,74.5,7.6,36.2,Jamaica,3.2,Portugal,2.3,Poland,2.3,43.5,20.3,"10,676",46,78.4,82.4,74.0,8.2,10.3,2.6,11,17.3,6.4,55.5,"£34,524","£38,583","£32,571",32,"169,000",24.4, 0.72 ,"17,925",76, 111.10 , 0.95 , 5.95 ,"345,000","1,224","1,250",11.9,25.3,25.3,36.7,17.3,"1,299.7",21.1,"66,791",0.5,18.6,5.0,29,2.5,28.9,65.9,87,47.1,78.4,83.5,33.2,6.99,7.31,7.14,3.52,Lab,5,94,0,32.0,,,
00AZ,E09000023,Lewisham,Inner London,"289,400","121,223",3514.9,82.3,34.5,20.6,70.0,9.4,30.7,Jamaica,3.5,Nigeria,3.5,Poland,1.6,48.4,16.5,"6,576",33,73.8,81.2,66.2,8.5,36.1,3.5,12,18.9,6.4,46.4,"£28,978","£30,900","£26,507",28,"82,700",24.9, 0.41 ,"8,885",73, 86.40 , 2.74 , 14.82 ,"258,000","1,359",710,13.8,35.6,25.4,24.5,22.5,970.2,17.7,"76,507",0.7,12.8,3.9,31,3.0,25.1,58.0,77,30.7,78.7,83.0,42.0,7.37,7.75,7.41,3.32,Lab,0,98,0,37.2,,,
00BA,E09000024,Merton,Outer London,"205,100","80,393",3762.5,54.5,36.3,20.2,67.9,11.9,38.9,Poland,3.5,Sri Lanka,3.2,South Africa,2.8,36.5,21.1,"5,131",37,75.8,83.5,67.9,5.8,16.8,4.5,6.8,16.9,5.6,47.7,"£27,684","£28,191","£26,840",22,"99,000",12.9, 0.72 ,"10,560",77, 65.82 , 3.10 , 17.14 ,"322,000","1,406",440,27.0,36.8,11.7,23.7,34.6,881.3,38.9,"72,777",0.9,14.8,3.4,208,1.4,16.6,62.6,33,41.1,80.3,84.1,25.5,7.52,7.67,7.17,3.31,Lab,33,60,2,41.0,,,
00BB,E09000025,Newham,Inner London,"331,400","111,159",3619.8,91.6,31.4,22.5,70.8,6.7,49.6,India,8.7,Bangladesh,6.8,Pakistan,5.3,72.4,41.4,"17,095",77,61.8,70.9,52.1,11.3,20.5,4.0,10.6,16.5,13.6,30.7,"£29,076","£32,205","£26,465",8,"100,300",25.1, 0.45 ,"8,540",71, 99.66 , 1.19 , 6.71 ,"230,000","1,245","1,970",11.9,17.9,29.9,39.8,23.9,"1,531.9",17.7,"61,092",0.6,6.4,3.9,3,2.3,25.6,58.4,50,71.9,78.5,82.6,24.1,7.31,7.71,7.5,2.74,Lab,0,100,0,40.6,,,
00BC,E09000026,Redbridge,Outer London,"289,900","102,680",5641.9,51.4,35.5,22.7,65.2,12.1,38.0,India,7.6,Pakistan,5.3,Sri Lanka,2.6,60.7,24.6,"6,374",34,67.3,77.5,57.2,9.3,29.6,3.4,7.9,17.4,6.8,40.9,"£31,015","£34,328","£26,273",25,"84,500",26.3, 0.45 ,"12,085",75, 77.77 , 2.84 , 13.86 ,"275,000","1,395",260,27.6,37.6,8.3,24.7,40.6,985.2,29.3,"106,339",1.1,9.8,3.0,134,1.8,15.5,70.2,29,60.4,80.7,84.2,16.2,7.45,7.65,7.24,3.13,Lab,40,56,5,39.7,,,
00BD,E09000027,Richmond upon Thames,Outer London,"190,900","81,046",5740.7,33.3,38.3,20.2,65.5,14.2,22.8,Ireland,1.8,South Africa,1.4,United States,1.4,14.7,10.4,"2,079",17,78.7,86.4,71.1,4.5,13.9,4.4,5.1,14.3,3.0,59.1,"£31,529","£34,828","£29,537",49,"97,400",12.7, 0.78 ,"13,065",78, 61.68 , 2.90 , 17.29 ,"475,000","1,586",360,29.9,36.3,10.3,20.6,50.8,905.2,43.3,"84,918",1.1,33.7,3.0,285,1.0,8.5,68.3,20,20.1,81.9,85.9,19.9,7.56,7.76,7.54,3,Cons,72,0,28,46.3,,,
00BE,E09000028,Southwark,Inner London,"304,100","127,110",2886.2,105.4,33.8,18.5,73.7,7.8,36.5,Nigeria,4.7,Jamaica,2.0,Ireland,1.7,46.9,19.6,"10,683",49,66.3,74.3,57.4,11.1,20.2,2.9,11.3,16.3,7.9,49.1,"£34,745","£37,970","£31,273",26,"262,200",20.7, 1.19 ,"14,580",71, 109.72 , 1.00 , 6.29 ,"347,500","1,211","1,650",9.9,23.6,40.9,24.8,24.9,"1,568.6",34.3,"60,438",0.5,21.0,4.7,41,2.8,28.3,65.2,91,42.3,78.6,83.8,31.8,7.56,7.72,7.27,3.47,Lab,3,76,21,not avail,,,
00BF,E09000029,Sutton,Outer London,"195,600","79,536",4384.7,44.6,38.3,20.2,65.0,14.9,21.2,Sri Lanka,1.8,India,1.7,Ireland,1.2,23.1,10.0,"1,409",11,79.8,85.8,74.0,6.0,26.3,4.0,7.2,17.7,6.4,33.5,"£25,791","£26,989","£24,685",24,"77,500",20.2, 0.61 ,"7,805",79, 57.11 , 4.57 , 21.08 ,"250,000","1,440",300,26.7,43.6,11.6,16.6,32.0,819.7,37.1,"91,266",1.2,9.6,2.7,196,1.7,16.1,77.0,45,21.1,80.8,84.1,25.8,7.43,7.6,7.25,3.25,Lib Dem,17,0,83,42.2,,,
